number,value,datetime_start,datetime_complete,duration,params_batch_size,params_epochs,params_hidden_size,params_num_layers,params_output_dropout,params_schedule_pairs,params_seq_length_1D,params_seq_length_1H,state
0,-1000000000.0,2026-02-26 16:48:34.677526,2026-02-26 16:48:34.680376,0 days 00:00:00.002850,128,3,64,1,0.2797436608167806,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",92,251,COMPLETE
1,-1000000000.0,2026-02-26 16:48:34.677959,2026-02-26 16:48:34.680075,0 days 00:00:00.002116,128,4,256,1,0.11230050995610127,"((0.5, 0.25), (0.01, 0.005, 0.001))",129,128,COMPLETE
94,-1000000000.0,2026-02-26 16:48:35.098307,2026-02-26 16:48:35.109071,0 days 00:00:00.010764,128,2,256,1,0.37917343157177336,"((0.7, 0.2), (0.01, 0.002, 0.0005))",87,300,COMPLETE
93,-1000000000.0,2026-02-26 16:48:35.095732,2026-02-26 16:48:35.104928,0 days 00:00:00.009196,128,2,256,1,0.5794287469791712,"((0.7, 0.2), (0.01, 0.002, 0.0005))",86,297,COMPLETE
92,-1000000000.0,2026-02-26 16:48:35.082391,2026-02-26 16:48:35.097320,0 days 00:00:00.014929,128,2,256,1,0.5681506987266082,"((0.7, 0.2), (0.01, 0.002, 0.0005))",74,345,COMPLETE
91,-1000000000.0,2026-02-26 16:48:35.079391,2026-02-26 16:48:35.094589,0 days 00:00:00.015198,128,2,256,1,0.5586392114404478,"((0.7, 0.2), (0.01, 0.002, 0.0005))",130,284,COMPLETE
90,-1000000000.0,2026-02-26 16:48:35.057934,2026-02-26 16:48:35.078593,0 days 00:00:00.020659,32,3,128,1,0.2657089235467254,"((0.7, 0.2), (0.01, 0.002, 0.0005))",138,293,COMPLETE
89,-1000000000.0,2026-02-26 16:48:35.051599,2026-02-26 16:48:35.075077,0 days 00:00:00.023478,128,3,64,1,0.3248507661010538,"((0.5, 0.25), (0.01, 0.005, 0.001))",96,260,COMPLETE
88,-1000000000.0,2026-02-26 16:48:35.047465,2026-02-26 16:48:35.056678,0 days 00:00:00.009213,128,2,64,1,0.5051619762970699,"((0.5, 0.25), (0.01, 0.005, 0.001))",120,301,COMPLETE
87,-1000000000.0,2026-02-26 16:48:35.040871,2026-02-26 16:48:35.050261,0 days 00:00:00.009390,64,2,256,1,0.34896213365873263,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",92,195,COMPLETE
86,-1000000000.0,2026-02-26 16:48:35.037036,2026-02-26 16:48:35.045791,0 days 00:00:00.008755,64,2,256,1,0.3498003837545919,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",135,274,COMPLETE
85,-1000000000.0,2026-02-26 16:48:35.030089,2026-02-26 16:48:35.039265,0 days 00:00:00.009176,64,2,64,1,0.29299220744389914,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",135,275,COMPLETE
84,-1000000000.0,2026-02-26 16:48:35.026651,2026-02-26 16:48:35.035820,0 days 00:00:00.009169,64,2,64,1,0.5392541431808687,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",133,317,COMPLETE
83,-1000000000.0,2026-02-26 16:48:35.017758,2026-02-26 16:48:35.028425,0 days 00:00:00.010667,64,2,64,1,0.3092793231481986,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",126,311,COMPLETE
82,-1000000000.0,2026-02-26 16:48:35.015549,2026-02-26 16:48:35.025776,0 days 00:00:00.010227,64,2,64,1,0.2998071625296403,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",143,306,COMPLETE
81,-1000000000.0,2026-02-26 16:48:35.007288,2026-02-26 16:48:35.016046,0 days 00:00:00.008758,32,3,128,1,0.42027134132494154,"((0.6, 0.2), (0.005, 0.0015, 0.0005))",116,286,COMPLETE
80,-1000000000.0,2026-02-26 16:48:35.005150,2026-02-26 16:48:35.014784,0 days 00:00:00.009634,32,3,64,1,0.26671469732964903,"((0.5, 0.25), (0.01, 0.005, 0.001))",111,226,COMPLETE
